cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
7,p04_text,123,5.118,0.271193,0.0,0.319801,reports/experiments/exp3_cfg_sweep/images/cfg_7/p04_text_seed123.png
7,p04_text,456,4.887,0.279783,0.0,0.357386,reports/experiments/exp3_cfg_sweep/images/cfg_7/p04_text_seed456.png
7,p04_text,789,5.014,0.251904,0.0,0.307088,reports/experiments/exp3_cfg_sweep/images/cfg_7/p04_text_seed789.png
7,p04_text,1337,5.104,0.317877,0.0,0.43859,reports/experiments/exp3_cfg_sweep/images/cfg_7/p04_text_seed1337.png
7,p05_texture,42,5.063,0.33136,0.0,0.184031,reports/experiments/exp3_cfg_sweep/images/cfg_7/p05_texture_seed42.png
7,p05_texture,123,4.939,0.309051,0.0,0.345349,reports/experiments/exp3_cfg_sweep/images/cfg_7/p05_texture_seed123.png
7,p05_texture,456,4.846,0.283112,0.0,0.203685,reports/experiments/exp3_cfg_sweep/images/cfg_7/p05_texture_seed456.png
7,p05_texture,789,4.981,0.32144,0.0,0.45497,reports/experiments/exp3_cfg_sweep/images/cfg_7/p05_texture_seed789.png
7,p05_texture,1337,5.287,0.31798,0.0,0.264764,reports/experiments/exp3_cfg_sweep/images/cfg_7/p05_texture_seed1337.png
7,p06_arch,42,4.809,0.291145,0.0,0.317666,reports/experiments/exp3_cfg_sweep/images/cfg_7/p06_arch_seed42.png
7,p06_arch,123,4.827,0.311073,0.0,0.193041,reports/experiments/exp3_cfg_sweep/images/cfg_7/p06_arch_seed123.png
7,p06_arch,456,4.927,0.29799,0.0,0.319508,reports/experiments/exp3_cfg_sweep/images/cfg_7/p06_arch_seed456.png
7,p06_arch,789,4.986,0.333954,0.0,0.250534,reports/experiments/exp3_cfg_sweep/images/cfg_7/p06_arch_seed789.png
7,p06_arch,1337,5.031,0.316928,0.0,0.336708,reports/experiments/exp3_cfg_sweep/images/cfg_7/p06_arch_seed1337.png
7,p07_hands,42,4.949,0.286237,0.0,0.295159,reports/experiments/exp3_cfg_sweep/images/cfg_7/p07_hands_seed42.png
7,p07_hands,123,4.99,0.258342,0.0,0.602933,reports/experiments/exp3_cfg_sweep/images/cfg_7/p07_hands_seed123.png
7,p07_hands,456,4.045,0.293155,0.0,0.343051,reports/experiments/exp3_cfg_sweep/images/cfg_7/p07_hands_seed456.png
7,p07_hands,789,3.932,0.322603,0.0,0.389827,reports/experiments/exp3_cfg_sweep/images/cfg_7/p07_hands_seed789.png
7,p07_hands,1337,3.996,0.277509,0.0,0.126722,reports/experiments/exp3_cfg_sweep/images/cfg_7/p07_hands_seed1337.png
7,p08_crowd,42,4.179,0.327034,0.0,0.332186,reports/experiments/exp3_cfg_sweep/images/cfg_7/p08_crowd_seed42.png
7,p08_crowd,123,3.951,0.342599,0.0,0.343766,reports/experiments/exp3_cfg_sweep/images/cfg_7/p08_crowd_seed123.png
7,p08_crowd,456,5.332,0.335887,0.0,0.288506,reports/experiments/exp3_cfg_sweep/images/cfg_7/p08_crowd_seed456.png
7,p08_crowd,789,4.443,0.326926,0.0,0.214992,reports/experiments/exp3_cfg_sweep/images/cfg_7/p08_crowd_seed789.png
7,p08_crowd,1337,4.938,0.350587,0.0,0.500477,reports/experiments/exp3_cfg_sweep/images/cfg_7/p08_crowd_seed1337.png
9,p01_portrait,42,5.436,0.335292,0.351077,0.351077,reports/experiments/exp3_cfg_sweep/images/cfg_9/p01_portrait_seed42.png
9,p01_portrait,123,5.407,0.316274,0.267732,0.267732,reports/experiments/exp3_cfg_sweep/images/cfg_9/p01_portrait_seed123.png
9,p01_portrait,456,5.755,0.324777,0.322999,0.322999,reports/experiments/exp3_cfg_sweep/images/cfg_9/p01_portrait_seed456.png
9,p01_portrait,789,5.651,0.356929,0.353117,0.353117,reports/experiments/exp3_cfg_sweep/images/cfg_9/p01_portrait_seed789.png
9,p01_portrait,1337,5.521,0.340227,0.146027,0.146027,reports/experiments/exp3_cfg_sweep/images/cfg_9/p01_portrait_seed1337.png
9,p02_landscape,42,5.293,0.315444,0.167045,0.167045,reports/experiments/exp3_cfg_sweep/images/cfg_9/p02_landscape_seed42.png
9,p02_landscape,123,5.402,0.312225,0.359931,0.359931,reports/experiments/exp3_cfg_sweep/images/cfg_9/p02_landscape_seed123.png
9,p02_landscape,456,5.326,0.314087,0.109393,0.109393,reports/experiments/exp3_cfg_sweep/images/cfg_9/p02_landscape_seed456.png
9,p02_landscape,789,5.414,0.306988,0.185924,0.185924,reports/experiments/exp3_cfg_sweep/images/cfg_9/p02_landscape_seed789.png
9,p02_landscape,1337,5.376,0.30801,0.195596,0.195596,reports/experiments/exp3_cfg_sweep/images/cfg_9/p02_landscape_seed1337.png
9,p03_abstract,42,5.333,0.30066,0.207799,0.207799,reports/experiments/exp3_cfg_sweep/images/cfg_9/p03_abstract_seed42.png
9,p03_abstract,123,5.337,0.32915,0.215774,0.215774,reports/experiments/exp3_cfg_sweep/images/cfg_9/p03_abstract_seed123.png
9,p03_abstract,456,5.558,0.299374,0.492969,0.492969,reports/experiments/exp3_cfg_sweep/images/cfg_9/p03_abstract_seed456.png
9,p03_abstract,789,5.625,0.323504,0.313277,0.313277,reports/experiments/exp3_cfg_sweep/images/cfg_9/p03_abstract_seed789.png
9,p03_abstract,1337,5.364,0.309252,0.405297,0.405297,reports/experiments/exp3_cfg_sweep/images/cfg_9/p03_abstract_seed1337.png
9,p04_text,42,5.615,0.271193,0.546671,0.546671,reports/experiments/exp3_cfg_sweep/images/cfg_9/p04_text_seed42.png
9,p04_text,123,5.608,0.272872,0.181339,0.181339,reports/experiments/exp3_cfg_sweep/images/cfg_9/p04_text_seed123.png
9,p04_text,456,5.18,0.319252,0.458969,0.458969,reports/experiments/exp3_cfg_sweep/images/cfg_9/p04_text_seed456.png
9,p04_text,789,5.549,0.262262,0.245554,0.245554,reports/experiments/exp3_cfg_sweep/images/cfg_9/p04_text_seed789.png
9,p04_text,1337,5.587,0.297135,0.367974,0.367974,reports/experiments/exp3_cfg_sweep/images/cfg_9/p04_text_seed1337.png
9,p05_texture,42,5.842,0.330279,0.22359,0.22359,reports/experiments/exp3_cfg_sweep/images/cfg_9/p05_texture_seed42.png
9,p05_texture,123,5.536,0.296317,0.362357,0.362357,reports/experiments/exp3_cfg_sweep/images/cfg_9/p05_texture_seed123.png
9,p05_texture,456,5.561,0.302616,0.382956,0.382956,reports/experiments/exp3_cfg_sweep/images/cfg_9/p05_texture_seed456.png
9,p05_texture,789,5.66,0.287785,0.295936,0.295936,reports/experiments/exp3_cfg_sweep/images/cfg_9/p05_texture_seed789.png
9,p05_texture,1337,5.446,0.337539,0.283756,0.283756,reports/experiments/exp3_cfg_sweep/images/cfg_9/p05_texture_seed1337.png
9,p06_arch,42,5.629,0.283292,0.247488,0.247488,reports/experiments/exp3_cfg_sweep/images/cfg_9/p06_arch_seed42.png
9,p06_arch,123,5.633,0.29534,0.232982,0.232982,reports/experiments/exp3_cfg_sweep/images/cfg_9/p06_arch_seed123.png
9,p06_arch,456,5.411,0.305502,0.263902,0.263902,reports/experiments/exp3_cfg_sweep/images/cfg_9/p06_arch_seed456.png
9,p06_arch,789,5.389,0.309355,0.363063,0.363063,reports/experiments/exp3_cfg_sweep/images/cfg_9/p06_arch_seed789.png
9,p06_arch,1337,5.475,0.322064,0.273895,0.273895,reports/experiments/exp3_cfg_sweep/images/cfg_9/p06_arch_seed1337.png
9,p07_hands,42,5.556,0.276674,0.131589,0.131589,reports/experiments/exp3_cfg_sweep/images/cfg_9/p07_hands_seed42.png
9,p07_hands,123,5.548,0.254041,0.357652,0.357652,reports/experiments/exp3_cfg_sweep/images/cfg_9/p07_hands_seed123.png
9,p07_hands,456,5.305,0.295307,0.248564,0.248564,reports/experiments/exp3_cfg_sweep/images/cfg_9/p07_hands_seed456.png
9,p07_hands,789,5.593,0.309066,0.196851,0.196851,reports/experiments/exp3_cfg_sweep/images/cfg_9/p07_hands_seed789.png
9,p07_hands,1337,5.394,0.277362,0.157664,0.157664,reports/experiments/exp3_cfg_sweep/images/cfg_9/p07_hands_seed1337.png
9,p08_crowd,42,5.189,0.3449,0.287138,0.287138,reports/experiments/exp3_cfg_sweep/images/cfg_9/p08_crowd_seed42.png
9,p08_crowd,123,5.452,0.326629,0.285069,0.285069,reports/experiments/exp3_cfg_sweep/images/cfg_9/p08_crowd_seed123.png
